,Name,Tweet Count,Tweet,Compound Score,Positive,Negative,Neutral,Date
97,BBC,3,Oxford Circus Tube station: Police respond to reports of shots fired. https://t.co/fk8KjpyQGf https://t.co/GHGtGogOIO,-0.5574,0.0,0.231,0.769,Fri Nov 24 17:37:03 +0000 2017
98,BBC,2,"RT @BBCBreaking: Everyone on Oxford Street told to go into a building while incident ongoing, London police say https://t.co/tiPTYyJaP6",0.0,0.0,0.0,1.0,Fri Nov 24 17:20:10 +0000 2017
99,BBC,1,"From being surprised by a polar bear to getting grabbed by a walrus underwater, wildlife cameraman @DougAllanCamera… https://t.co/gm81fAozaH",0.2263,0.112,0.0,0.888,Fri Nov 24 16:35:04 +0000 2017
100,CNN,100,Police in Beijing have detained a teacher as they investigate allegations that children were drugged and molested a… https://t.co/IjJsHNQMjR,-0.6808,0.0,0.259,0.741,Sun Nov 26 21:30:05 +0000 2017
101,CNN,99,Democratic Sen. Al Franken says he's 'embarrassed and ashamed' over groping allegations https://t.co/J5VOhKhXo6 https://t.co/BPXTzBqsJx,-0.6808,0.0,0.318,0.682,Sun Nov 26 21:15:11 +0000 2017
102,CNN,98,"Former ""Glee"" star Naya Rivera has been charged with domestic battery https://t.co/NmPqsHkeWT https://t.co/vLkf1B6VPC",-0.2023,0.0,0.13,0.87,Sun Nov 26 21:00:14 +0000 2017
103,CNN,97,Take a look at everything that happened this week in politics https://t.co/cjYGvZpaeM https://t.co/6MswSp8fkp,0.0,0.0,0.0,1.0,Sun Nov 26 20:45:11 +0000 2017
104,CNN,96,"Rohingya crisis: 'It's not genocide,' say Myanmar's hardline monks https://t.co/PX5efOLKp7 https://t.co/IQP1pmFa0I",-0.6249,0.0,0.291,0.709,Sun Nov 26 20:30:10 +0000 2017
105,CNN,95,The Popocatépetl volcano in central Mexico recently erupted three times in one day. https://t.co/s4k5u2uJ9K https://t.co/zYU8kzYYGT,0.0,0.0,0.0,1.0,Sun Nov 26 20:16:34 +0000 2017
106,CNN,94,The 25 to 30 men who carried out the attack on a mosque in Eqypt wore military uniforms and arrived in SUVs… https://t.co/uTUtdjayp6,-0.4767,0.0,0.129,0.871,Sun Nov 26 20:00:06 +0000 2017
107,CNN,93,Pakistani law minister apologizes to protesters for provoking outrage as street tensions simmer… https://t.co/7Mj9a73nCy,-0.7351,0.118,0.458,0.425,Sun Nov 26 19:45:09 +0000 2017
108,CNN,92,France edges Belgium 3-2 to win the Davis Cup for the 10th time https://t.co/kdxgjFddGt https://t.co/P0cYwUSQcj,0.5859,0.213,0.0,0.787,Sun Nov 26 19:30:17 +0000 2017
109,CNN,91,Republican Sen. Lindsey Graham bemoans President Trump's support for Alabama Senate candidate Roy Moore… https://t.co/0wYFO7HKNc,0.4019,0.162,0.0,0.838,Sun Nov 26 19:04:29 +0000 2017
110,CNN,90,Airstrikes in Syria have killed at least 57 people just two days before United Nations-facilitated peace talks… https://t.co/XsZX4Oz7UE,0.2023,0.244,0.174,0.581,Sun Nov 26 19:00:16 +0000 2017
111,CNN,89,Formula One driver Valtteri Bottas takes victory in the Abu Dhabi Grand Prix https://t.co/hOHuJrvaJt https://t.co/If0r4JIA0J,0.4588,0.176,0.0,0.824,Sun Nov 26 18:45:06 +0000 2017
112,CNN,88,"""John Conyers is an icon in our country. He's done a great deal to protect women."" - House Minority Leader Nancy Pe… https://t.co/igdmTRiA4C",0.7717,0.261,0.0,0.739,Sun Nov 26 18:30:10 +0000 2017
113,CNN,87,What do you remember from the week that was? Take the CNN news quiz. https://t.co/myqIegGELC https://t.co/EKRZwPurO6,0.0,0.0,0.0,1.0,Sun Nov 26 18:15:04 +0000 2017
114,CNN,86,A survivor of the attack on the Egyptian mosque that left 305 people dead says he hid under dead bodies to avoid de… https://t.co/MQu400GZ27,-0.9153,0.072,0.44,0.489,Sun Nov 26 18:06:07 +0000 2017
115,CNN,85,JUST IN: Democratic Rep. John Conyers says he'll step down as ranking member of the House Judiciary Committee while… https://t.co/sNntAQ1ulj,0.0,0.0,0.0,1.0,Sun Nov 26 17:46:01 +0000 2017
116,CNN,84,This is how President Trump plans to sell the tax reform bill on Capitol Hill https://t.co/SbpkWs9lqP https://t.co/nvU3fmiUqG,0.0,0.0,0.0,1.0,Sun Nov 26 17:37:22 +0000 2017
117,CNN,83,"Republican Sen. Lindsey Graham on passing tax reform: ""We'll get there because failure is not an option...""… https://t.co/0g1uLFu24Z",-0.5106,0.0,0.163,0.837,Sun Nov 26 17:28:35 +0000 2017
118,CNN,82,"Pope Francis is preparing to visit Myanmar, a staunchly Buddhist country accused of horrifying acts of brutality ag… https://t.co/XdlzvmvOK3",-0.872,0.0,0.398,0.602,Sun Nov 26 16:45:06 +0000 2017
119,CNN,81,British Prime Minister Theresa May has been warned to change course over Brexit and the Irish border… https://t.co/QntZNUeam4,-0.2732,0.0,0.11,0.89,Sun Nov 26 16:30:09 +0000 2017
120,CNN,80,Police in Beijing have detained a teacher as they investigate allegations that children were drugged and molested a… https://t.co/IjJsHNQMjR,-0.6808,0.0,0.259,0.741,Sun Nov 26 21:30:05 +0000 2017
121,CNN,79,Democratic Sen. Al Franken says he's 'embarrassed and ashamed' over groping allegations https://t.co/J5VOhKhXo6 https://t.co/BPXTzBqsJx,-0.6808,0.0,0.318,0.682,Sun Nov 26 21:15:11 +0000 2017
122,CNN,78,"Former ""Glee"" star Naya Rivera has been charged with domestic battery https://t.co/NmPqsHkeWT https://t.co/vLkf1B6VPC",-0.2023,0.0,0.13,0.87,Sun Nov 26 21:00:14 +0000 2017
123,CNN,77,Take a look at everything that happened this week in politics https://t.co/cjYGvZpaeM https://t.co/6MswSp8fkp,0.0,0.0,0.0,1.0,Sun Nov 26 20:45:11 +0000 2017
124,CNN,76,"Rohingya crisis: 'It's not genocide,' say Myanmar's hardline monks https://t.co/PX5efOLKp7 https://t.co/IQP1pmFa0I",-0.6249,0.0,0.291,0.709,Sun Nov 26 20:30:10 +0000 2017
125,CNN,75,The Popocatépetl volcano in central Mexico recently erupted three times in one day. https://t.co/s4k5u2uJ9K https://t.co/zYU8kzYYGT,0.0,0.0,0.0,1.0,Sun Nov 26 20:16:34 +0000 2017
126,CNN,74,The 25 to 30 men who carried out the attack on a mosque in Eqypt wore military uniforms and arrived in SUVs… https://t.co/uTUtdjayp6,-0.4767,0.0,0.129,0.871,Sun Nov 26 20:00:06 +0000 2017
127,CNN,73,Pakistani law minister apologizes to protesters for provoking outrage as street tensions simmer… https://t.co/7Mj9a73nCy,-0.7351,0.118,0.458,0.425,Sun Nov 26 19:45:09 +0000 2017
128,CNN,72,France edges Belgium 3-2 to win the Davis Cup for the 10th time https://t.co/kdxgjFddGt https://t.co/P0cYwUSQcj,0.5859,0.213,0.0,0.787,Sun Nov 26 19:30:17 +0000 2017
